"Temperature (mBar)","Pression (mBar)","Altitude (m)"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"141256","-167884","NaN"
"27","-1009","NaN"
"28","991","192"
"27","991","190"
"26","991","190"
"26","991","189"
"25","991","189"
"25","991","190"
"25","991","189"
"25","991","189"
"25","991","190"
"24","991","189"
"24","991","190"
"24","991","190"
"24","991","190"
"24","991","190"
"24","991","190"
"24","991","190"
"24","991","190"
"24","991","191"
"24","991","191"
"24","991","190"
